"County" "Year" "JanAvgMaxTemp" "FebAvgMaxTemp" "MarAvgMaxTemp" "AprAvgMaxTemp" "JanAvgMinTemp" "FebAvgMinTemp" "MarAvgMinTemp" "AprAvgMinTemp" "JanTotalPrecip" "FebTotalPrecip" "MarTotalPrecip" "AprTotalPrecip" "AprTotalGDD" "CornYield" "SoybeanYield"
"1" "aitkin" 1980 18.4 24.35 36.65 63.6333333333333 -4.75 -2.2 11.25 20.1666666666667 1.23 0.29 0.64 0.613333333333333 65.6666666666667 99 19
"4" "aitkin" 1981 24 30.8 45.6 55.6 9.73333333333333 13.4333333333333 15.0666666666667 20.1 0.655 0.793333333333333 0.686666666666667 2.48666666666667 12.3333333333333 110 18
"7" "aitkin" 1982 9.55 25.8 37.2 50.55 7.95 12.35 8.35 4.85 2.375 0.46 1.055 2 30 57 24
"10" "aitkin" 1983 23.5 29.9 37.15 49.8666666666667 18.65 13.1 16.4 17.2333333333333 3.255 0.62 1.26 0.88 9 73 29
"13" "aitkin" 1984 19.6333333333333 34.4 33.0666666666667 56.6333333333333 10.2666666666667 19.7666666666667 4.03333333333333 19.7666666666667 0.906666666666667 1.32333333333333 0.703333333333333 1.18666666666667 10 53 11
"16" "aitkin" 1985 17 22.3666666666667 41.8666666666667 57.3 11.2 6.66666666666667 14.7333333333333 20.5 1.97 0.366666666666667 1.64666666666667 3.09 68.6666666666667 60 33
"19" "aitkin" 1986 22.6 22.2666666666667 40.2333333333333 56.1666666666667 13.2333333333333 4.6 9.63333333333333 23.6333333333333 1.05333333333333 1.21 0.653333333333333 2.77 25.6666666666667 83 28
"22" "aitkin" 1987 27.65 37.25 45.25 64.75 16.9 15.8666666666667 17.9333333333333 33.4 0.423333333333333 0.5 0.366666666666667 0.2 86 101 26
"25" "aitkin" 1988 15.9333333333333 20.0666666666667 36.1 56.1333333333333 -6.5 3.33333333333333 15.8333333333333 16.4333333333333 0.88 0.293333333333333 1.05666666666667 0.493333333333333 25.3333333333333 88 30
"28" "aitkin" 1989 25.1666666666667 15.4666666666667 31.5333333333333 50.7 9.93333333333333 -0.566666666666666 7.66666666666667 17.9666666666667 1.11666666666667 1.01333333333333 1.32 1.64 16.3333333333333 75 34
"31" "aitkin" 1990 30.3333333333333 28.9666666666667 40.1333333333333 53.6333333333333 18.3333333333333 5.66666666666667 9.8 22.2333333333333 0.733333333333333 0.776666666666667 1.57333333333333 2.58 88 73 39.6
"34" "aitkin" 1991 16.7 31.5 39.3 55.05 6.06666666666667 11.3 11.6 20.8666666666667 2.385 0.445 0.635 1.36333333333333 47 80 30.8
"37" "aitkin" 1992 25.2333333333333 29.6666666666667 37 46.4333333333333 15.0333333333333 14.4333333333333 12.15 21.6333333333333 0.925 1.875 1.3 1.12333333333333 7.66666666666667 60 28
"124" "anoka" 2008 22.2 24.1 35 52 1.8 -0.2 12.8 31.6 0.04 0.525 1.335 4.575 42 118 40.7
"126" "anoka" 2009 15.9 28.6 39.7 56.3 -9.5 7.7 17.8 31.3 0.495 0.955 1.71 1.545 42 159 34.9
"138" "becker" 1980 16.5 19.75 33.4 62.25 -6.1 -2.75 5.6 30.05 1.275 0.755 0.76 0.07 82.5 65 17
"140" "becker" 1981 24.65 29.7 45.85 58.4 -0.15 8.6 19.75 31.45 0.18 0.455 0.92 1.14 29 80 25
"142" "becker" 1982 5.95 22.4 31.2 51.6 -21.55 -2.4 10.85 26.1 0.74 0.655 1.56 0.705 35 70 25
"144" "becker" 1983 22.95 28.85 37.15 52.15 3.05 12.2 20.85 28.55 0.755 0.35 1.12 0.245 23 58 35
"146" "becker" 1984 18.55 35.1 32.9 57.35 -3.45 11.7 10.9 33.4 0.395 0.55 1.025 1.58 10.5 58 25
"148" "becker" 1985 17.45 21.75 41.7 60.1 -6.25 -3.2 22 33.3 0.195 0.25 1.57 2.99 95 59 15
