ST_NM,SUBDIVISION
NMMT,Naga Mani Mizo Tripura
Arunachal Pradesh,Arunachal Pradesh
Chhattisgarh,Chhattisgarh
Jammu & Kashmir,Jammu & Kashmir
Vidarbha,Vidarbha
Marathwada,Matathwada
Madhya Maharashtra,Madhya Maharashtra
West Rajasthan,West Rajasthan
Telangana,Telangana
Rayalaseema,Rayalseema
S.I. Karnataka,South Interior Karnataka
Kerala,Kerala
Tamil Nadu & Puducherry,Tamil Nadu
Konkan & Goa,Konkan & Goa
Coastal Andhra Pradesh,Coastal Andhra Pradesh
Gujarat region,Gujarat Region
Saurashtra & Kachh,Saurashtra & Kutch
Coastal Karnataka,Coastal Karnataka
N.I. Karnataka,North Interior Karnataka
East Rajasthan,East Rajasthan
West Madhya Pradesh,West Madhya Pradesh
East Madhya Pradesh,East Madhya Pradesh
Uttarakhand,Uttarakhand
"Haryana, CHD & Delhi","Haryana Delhi & Chandigarh"
Punjab,Punjab
Himachal Pradesh,Himachal Pradesh
East Uttar Pradesh,East Uttar Pradesh
West Uttar Pradesh,West Uttar Pradesh
Andaman & Nicobar Island,Andaman & Nicobar Islands
Assam & Meghalaya,Assam & Meghalaya
Gangetic West Bengal,Gangetic West Bengal
Odisha,Orissa
Jharkhand,Jharkhand
Bihar,Bihar
Lakshadweep,Lakshadweep
SHWB,Sub Himalayan West Bengal & Sikkim
