Days,Year,Snowfall.Inches,City
3,2020,8.3,"Indianapolis, IN"
8,2019,28.9,"Indianapolis, IN"
4,2018,20.3,"Indianapolis, IN"
4,2017,8.7,"Indianapolis, IN"
6,2016,16.3,"Indianapolis, IN"
9,2015,24.7,"Indianapolis, IN"
11,2014,49.8,"Indianapolis, IN"
11,2013,28.5,"Indianapolis, IN"
6,2012,22.4,"Indianapolis, IN"
8,2011,23.3,"Indianapolis, IN"
10,2010,42,"Indianapolis, IN"
5,2020,8.3,"Cincinnati, OH"
7,2019,25.1,"Cincinnati, OH"
6,2018,22.5,"Cincinnati, OH"
5,2017,11.7,"Cincinnati, OH"
9,2016,21.5,"Cincinnati, OH"
5,2015,24.7,"Cincinnati, OH"
10,2014,40,"Cincinnati, OH"
12,2013,30.6,"Cincinnati, OH"
3,2012,12.9,"Cincinnati, OH"
4,2011,18.7,"Cincinnati, OH"
13,2010,49.6,"Cincinnati, OH"
1,2020,2.8,"Louisville, KY"
7,2019,12,"Louisville, KY"
7,2018,19.4,"Louisville, KY"
1,2017,2.8,"Louisville, KY"
6,2016,15,"Louisville, KY"
5,2015,23.9,"Louisville, KY"
7,2014,24,"Louisville, KY"
5,2013,13,"Louisville, KY"
3,2012,9.7,"Louisville, KY"
4,2011,11.4,"Louisville, KY"
8,2010,27.4,"Louisville, KY"
3,2020,8.1,"Saint Louis, MO"
8,2019,23.9,"Saint Louis, MO"
4,2018,10.6,"Saint Louis, MO"
3,2017,6.5,"Saint Louis, MO"
4,2016,11.1,"Saint Louis, MO"
4,2015,12.8,"Saint Louis, MO"
7,2014,27.3,"Saint Louis, MO"
5,2013,31.5,"Saint Louis, MO"
3,2012,6.4,"Saint Louis, MO"
10,2011,30.7,"Saint Louis, MO"
6,2010,19.4,"Saint Louis, MO"
