Florida.County,Year,Month,Day,Date,Time,Time.Zone,Event.Type,Deaths,Injuries,Property Damage ($),Crop Damage ($)
DE SOTO,1996,10,7,10/7/1996,8:00,EST,Tropical Storm,0,0,0,0
HERNANDO,1996,10,7,10/7/1996,8:00,EST,Tropical Storm,0,0,3930000,0
CHARLOTTE,1996,10,7,10/7/1996,8:00,EST,Tropical Storm,0,0,340000,0
HARDEE,1996,10,7,10/7/1996,8:00,EST,Tropical Storm,0,0,0,0
CITRUS,1996,10,7,10/7/1996,8:00,EST,Tropical Storm,0,0,1200000,0
MANATEE,1996,10,7,10/7/1996,8:00,EST,Tropical Storm,0,0,4900000,0
POLK,1996,10,7,10/7/1996,8:00,EST,Tropical Storm,0,0,0,0
PINELLAS,1996,10,7,10/7/1996,8:00,EST,Tropical Storm,0,1,25020000,0
PASCO,1996,10,7,10/7/1996,8:00,EST,Tropical Storm,0,0,3270000,0
LEE,1996,10,7,10/7/1996,8:00,EST,Tropical Storm,0,0,45000,0
SUMTER,1996,10,7,10/7/1996,8:00,EST,Tropical Storm,0,0,0,0
LEVY,1996,10,7,10/7/1996,8:00,EST,Tropical Storm,0,0,910000,0
SARASOTA,1996,10,7,10/7/1996,8:00,EST,Tropical Storm,0,0,2680000,0
HILLSBOROUGH,1996,10,7,10/7/1996,8:00,EST,Tropical Storm,0,0,2300000,0
HIGHLANDS,1996,10,7,10/7/1996,8:00,EST,Tropical Storm,0,0,0,0
JEFFERSON,1996,10,7,10/7/1996,12:00,EST,Tropical Storm,0,0,0,0
LAFAYETTE,1996,10,7,10/7/1996,12:00,EST,Tropical Storm,0,0,0,0
DIXIE,1996,10,7,10/7/1996,12:00,EST,Tropical Storm,0,0,0,0
FRANKLIN,1996,10,7,10/7/1996,12:00,EST,Tropical Storm,0,0,0,0
JACKSON,1996,10,7,10/7/1996,12:00,EST,Tropical Storm,0,0,0,0
BAY,1996,10,7,10/7/1996,12:00,EST,Tropical Storm,0,0,0,0
CALHOUN,1996,10,7,10/7/1996,12:00,EST,Tropical Storm,0,0,0,0
WAKULLA,1996,10,7,10/7/1996,12:00,EST,Tropical Storm,0,0,0,0
GULF,1996,10,7,10/7/1996,12:00,EST,Tropical Storm,0,0,0,0
GADSDEN,1996,10,7,10/7/1996,12:00,EST,Tropical Storm,0,0,0,0
LEON,1996,10,7,10/7/1996,12:00,EST,Tropical Storm,0,0,0,0
TAYLOR,1996,10,7,10/7/1996,12:00,EST,Tropical Storm,0,0,0,0
LIBERTY,1996,10,7,10/7/1996,12:00,EST,Tropical Storm,0,0,0,0
MADISON,1996,10,7,10/7/1996,12:00,EST,Tropical Storm,0,0,0,0
MONROE/LOWER KEYS,1996,10,8,10/8/1996,0:00,EST,Tropical Storm,0,0,5.00E+05,0
COASTAL DADE,1998,9,24,9/24/1998,17:00,EST,Tropical Storm,0,0,0,0
INLAND DADE,1998,9,25,9/25/1998,0:00,EST,Tropical Storm,0,0,0,0
GLADES,1998,9,25,9/25/1998,0:00,EST,Tropical Storm,0,0,0,0
COASTAL BROWARD,1998,9,25,9/25/1998,0:00,EST,Tropical Storm,0,0,0,0
COASTAL PALM BEACH,1998,9,25,9/25/1998,0:00,EST,Tropical Storm,0,0,0,0
INLAND COLLIER,1998,9,25,9/25/1998,0:00,EST,Tropical Storm,0,0,0,0
INLAND BROWARD,1998,9,25,9/25/1998,0:00,EST,Tropical Storm,0,0,0,0
HENDRY,1998,9,25,9/25/1998,0:00,EST,Tropical Storm,0,0,0,0
INLAND PALM BEACH,1998,9,25,9/25/1998,0:00,EST,Tropical Storm,0,0,0,0
MAINLAND MONROE,1998,11,4,11/4/1998,8:00,EST,Tropical Storm,0,0,0,0
GLADES,1998,11,4,11/4/1998,8:00,EST,Tropical Storm,0,0,0,0
MONROE/LOWER KEYS,1998,11,4,11/4/1998,8:00,EST,Tropical Storm,2,0,0,0
COASTAL DADE,1998,11,4,11/4/1998,8:00,EST,Tropical Storm,0,0,0,0
INLAND DADE,1998,11,4,11/4/1998,8:00,EST,Tropical Storm,0,0,0,0
