Depth,Ice age (a B1950),Ice age std (a),Gas age (a B1950),Gas age std (a),Accu. Rate (m ie),Thinning,LIDIE
0.00,-50.00,3.78,-1.00,-1.00,0.0217,0.9942,-1.00
2.00,-14.26,7.59,-1.00,-1.00,0.0217,0.9933,-1.00
4.00,22.57,11.42,-1.00,-1.00,0.0217,0.9924,-1.00
6.00,60.68,15.31,-1.00,-1.00,0.0217,0.9915,-1.00
8.00,100.03,19.39,-1.00,-1.00,0.0210,0.9905,-1.00
10.00,142.14,23.48,-1.00,-1.00,0.0212,0.9895,-1.00
12.00,185.22,28.06,-1.00,-1.00,0.0193,0.9885,-1.00
14.00,234.45,32.36,-1.00,-1.00,0.0209,0.9875,-1.00
16.00,281.42,36.78,-1.00,-1.00,0.0207,0.9865,-1.00
18.00,330.56,40.78,-1.00,-1.00,0.0232,0.9856,-1.00
20.00,375.88,44.96,-1.00,-1.00,0.0222,0.9848,-1.00
22.00,424.81,49.40,-1.00,-1.00,0.0208,0.9840,-1.00
24.00,478.85,54.17,-1.00,-1.00,0.0192,0.9832,-1.00
26.00,539.07,58.62,-1.00,-1.00,0.0205,0.9824,-1.00
28.00,597.35,62.84,-1.00,-1.00,0.0216,0.9815,-1.00
30.00,654.20,67.53,-1.00,-1.00,0.0195,0.9805,-1.00
32.00,719.19,71.82,-1.00,-1.00,0.0210,0.9797,-1.00
34.00,780.97,76.12,-1.00,-1.00,0.0210,0.9787,-1.00
36.00,844.24,80.37,-1.00,-1.00,0.0210,0.9779,-1.00
38.00,908.94,84.51,-1.00,-1.00,0.0214,0.9770,-1.00
40.00,973.93,88.64,-1.00,-1.00,0.0211,0.9761,-1.00
42.00,1041.06,92.64,-1.00,-1.00,0.0214,0.9752,-1.00
44.00,1108.51,96.64,-1.00,-1.00,0.0211,0.9743,-1.00
46.00,1178.13,100.73,-1.00,-1.00,0.0201,0.9734,-1.00
48.00,1252.43,104.69,-1.00,-1.00,0.0202,0.9725,-1.00
50.00,1327.52,108.24,-1.00,-1.00,0.0222,0.9716,-1.00
52.00,1396.85,111.75,-1.00,-1.00,0.0218,0.9707,-1.00
54.00,1468.44,115.37,-1.00,-1.00,0.0207,0.9699,-1.00
56.00,1544.95,119.01,-1.00,-1.00,0.0200,0.9689,-1.00
58.00,1625.20,122.56,-1.00,-1.00,0.0199,0.9680,-1.00
60.00,1706.84,126.04,-1.00,-1.00,0.0200,0.9672,-1.00
62.00,1789.07,129.45,-1.00,-1.00,0.0201,0.9663,-1.00
64.00,1872.03,132.60,-1.00,-1.00,0.0217,0.9654,-1.00
66.00,1949.90,135.76,-1.00,-1.00,0.0214,0.9645,-1.00
68.00,2029.74,138.94,-1.00,-1.00,0.0212,0.9636,-1.00
70.00,2111.00,142.21,-1.00,-1.00,0.0207,0.9627,-1.00
72.00,2195.34,145.37,-1.00,-1.00,0.0215,0.9618,-1.00
74.00,2277.16,148.43,-1.00,-1.00,0.0223,0.9608,-1.00
76.00,2356.86,151.78,-1.00,-1.00,0.0202,0.9598,-1.00
78.00,2445.79,154.97,-1.00,-1.00,0.0218,0.9589,-1.00
80.00,2528.91,158.37,-1.00,-1.00,0.0207,0.9581,-1.00
82.00,2617.26,161.63,-1.00,-1.00,0.0219,0.9572,-1.00
84.00,2701.31,165.27,-1.00,-1.00,0.0194,0.9563,-1.00
86.00,2797.04,168.42,-1.00,-1.00,0.0221,0.9552,-1.00
88.00,2881.78,171.72,-1.00,-1.00,0.0206,0.9543,-1.00
90.00,2973.34,175.05,-1.00,-1.00,0.0203,0.9535,-1.00
92.00,3067.18,178.13,-1.00,-1.00,0.0214,0.9526,-1.00
94.00,3156.57,181.02,-1.00,-1.00,0.0222,0.9517,-1.00
96.00,3243.53,466.91,-1.00,-1.00,0.0212,0.9507,-1.00
98.00,3335.15,482.42,-1.00,-1.00,0.0218,0.9498,-1.00
100.00,3425.08,484.57,-1.00,-1.00,0.0225,0.9488,-1.00
102.00,3512.53,532.47,-1.00,-1.00,0.0206,0.9478,-1.00
104.00,3608.72,504.79,-1.00,-1.00,0.0231,0.9468,-1.00
106.00,3695.12,525.63,-1.00,-1.00,0.0228,0.9457,-1.00
108.00,3783.15,587.05,-1.00,-1.00,0.0212,0.9446,-1.00
110.00,3877.99,597.02,-1.00,-1.00,0.0220,0.9436,-1.00
112.00,3969.94,620.37,-1.00,-1.00,0.0210,0.9426,-1.00
114.00,4066.80,625.45,-1.00,-1.00,0.0208,0.9417,-1.00
116.00,4165.07,607.34,-1.00,-1.00,0.0204,0.9407,-1.00
118.00,4265.48,570.33,-1.00,-1.00,0.0223,0.9397,-1.00
120.00,4357.77,540.43,-1.00,-1.00,0.0244,0.9386,-1.00
122.00,4442.41,543.41,-1.00,-1.00,0.0244,0.9376,-1.00
124.00,4527.29,581.84,-1.00,-1.00,0.0242,0.9366,-1.00
126.00,4613.28,615.12,-1.00,-1.00,0.0222,0.9356,-1.00
128.00,4707.39,593.22,-1.00,-1.00,0.0210,0.9346,-1.00
130.00,4807.04,598.12,-1.00,-1.00,0.0225,0.9335,-1.00
132.00,4900.21,624.27,-1.00,-1.00,0.0207,0.9326,-1.00
134.00,5001.78,584.07,-1.00,-1.00,0.0214,0.9316,-1.00
136.00,5100.38,571.59,-1.00,-1.00,0.0226,0.9306,-1.00
138.00,5193.92,560.80,-1.00,-1.00,0.0218,0.9296,-1.00
140.00,5291.16,550.32,-1.00,-1.00,0.0227,0.9286,-1.00
142.00,5384.79,548.14,-1.00,-1.00,0.0229,0.9277,-1.00
144.00,5477.77,549.54,-1.00,-1.00,0.0230,0.9267,-1.00
146.00,5570.49,550.00,-1.00,-1.00,0.0224,0.9256,-1.00
148.00,5665.69,549.98,-1.00,-1.00,0.0223,0.9246,-1.00
150.00,5761.52,545.82,-1.00,-1.00,0.0220,0.9236,60.45
152.00,5858.96,541.61,3168.82,435.45,0.0223,0.9227,61.81
154.00,5955.22,561.33,3205.19,442.85,0.0227,0.9217,63.19
156.00,6050.10,552.25,3241.75,466.55,0.0215,0.9206,64.36
158.00,6150.12,554.47,3290.01,476.38,0.0225,0.9196,65.83
160.00,6245.91,550.20,3324.37,480.35,0.0222,0.9187,67.10
162.00,6343.38,576.63,3366.72,488.47,0.0222,0.9177,68.43
164.00,6441.04,585.58,3407.13,481.60,0.0201,0.9167,69.42
166.00,6549.13,540.05,3461.50,490.62,0.0216,0.9157,70.99
168.00,6649.75,533.29,3490.39,539.72,0.0222,0.9146,72.41
170.00,6747.86,566.78,3598.05,504.44,0.0224,0.9137,73.78
172.00,6844.89,577.17,3634.17,505.61,0.0206,0.9126,74.78
174.00,6950.98,579.72,3684.64,523.40,0.0209,0.9116,76.17
176.00,7055.46,589.65,3720.09,530.94,0.0210,0.9106,77.50
178.00,7159.75,592.12,3758.00,578.80,0.0208,0.9097,78.79
180.00,7264.90,546.32,3798.46,592.07,0.0224,0.9087,80.41
182.00,7362.73,553.05,3827.04,600.38,0.0221,0.9077,81.68
184.00,7462.16,576.08,3871.35,593.07,0.0212,0.9067,82.84
186.00,7565.87,546.93,3918.98,621.41,0.0225,0.9056,83.33
188.00,7664.00,541.87,3995.76,619.84,0.0229,0.9044,83.10
190.00,7760.44,569.67,4108.32,628.72,0.0224,0.9034,82.70
192.00,7858.99,602.19,4229.82,582.95,0.0213,0.9025,82.17
194.00,7962.88,625.83,4350.68,540.18,0.0209,0.9015,81.76
196.00,8069.23,624.00,4454.85,543.84,0.0214,0.9004,81.55
198.00,8173.09,606.39,4551.77,594.68,0.0222,0.8996,81.38
200.00,8273.26,570.24,4650.50,627.48,0.0251,0.8986,81.57
202.00,8361.88,601.97,4742.36,572.17,0.0210,0.8977,80.54
204.00,8467.79,596.57,4886.35,629.96,0.0218,0.8972,80.37
206.00,8569.88,591.35,4996.41,584.75,0.0218,0.8966,79.42
208.00,8672.04,578.11,5137.48,566.89,0.0214,0.8958,77.44
210.00,8776.55,564.15,5320.39,547.17,0.0214,0.8952,75.56
212.00,8880.84,585.09,5494.61,549.79,0.0230,0.8945,73.93
214.00,8977.85,610.17,5659.25,550.26,0.0214,0.8938,73.08
216.00,9082.30,637.51,5794.65,544.38,0.0214,0.8932,73.18
218.00,9187.03,616.19,5889.21,540.31,0.0219,0.8927,73.38
220.00,9289.42,593.10,5978.44,568.72,0.0217,0.8922,73.47
222.00,9392.70,581.69,6072.63,547.07,0.0229,0.8917,73.77
224.00,9490.75,572.09,6160.62,555.48,0.0224,0.8912,73.59
226.00,9590.72,563.50,6266.34,548.94,0.0214,0.8907,72.61
228.00,9695.49,554.49,6408.16,599.91,0.0225,0.8902,71.98
